Station,Year,Month,Day,Daily Rainfall Total (mm),Daily Rainfall Total,Highest 30 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),1981,6,25,,,,,,,,,
Jurong (West),1981,6,26,,,,,,,,,
Jurong (West),1981,6,27,,,,,,,,,
Jurong (West),1981,6,28,,,,,,,,,
Jurong (West),1981,6,29,,,,,,,,,
Jurong (West),1981,6,30,,,,,,,,,
Jurong (West),1981,7,1,0,,,,,,,,
Jurong (West),1981,7,2,0,,,,,,,,
Jurong (West),1981,7,3,9.1,,,,,,,,
Jurong (West),1981,7,4,0,,,,,,,,
Jurong (West),1981,7,5,64.3,,,,,,,,
Jurong (West),1981,7,6,1.6,,,,,,,,
Jurong (West),1981,7,7,0,,,,,,,,
Jurong (West),1981,7,8,0,,,,,,,,
Jurong (West),1981,7,9,0,,,,,,,,
Jurong (West),1981,7,10,25.5,,,,,,,,
Jurong (West),1981,7,11,0,,,,,,,,
Jurong (West),1981,7,12,26,,,,,,,,
Jurong (West),1981,7,13,0.8,,,,,,,,
Jurong (West),1981,7,14,0,,,,,,,,
Jurong (West),1981,7,15,24.6,,,,,,,,
Jurong (West),1981,7,16,0,,,,,,,,
Jurong (West),1981,7,17,1.1,,,,,,,,
Jurong (West),1981,7,18,11,,,,,,,,
Jurong (West),1981,7,19,161.1,,,,,,,,
Jurong (West),1981,7,20,,,,,,,,,
Jurong (West),1981,7,21,,,,,,,,,
Jurong (West),1981,7,22,,,,,,,,,
Jurong (West),1981,7,23,,,,,,,,,
Jurong (West),1981,7,24,,,,,,,,,
Jurong (West),1981,7,25,,,,,,,,,
Jurong (West),1981,7,26,0,,,,,,,,
Jurong (West),1981,7,27,0,,,,,,,,
Jurong (West),1981,7,28,0,,,,,,,,
Jurong (West),1981,7,29,0,,,,,,,,
Jurong (West),1981,7,30,1.8,,,,,,,,
Jurong (West),1981,7,31,0,,,,,,,,
Jurong (West),1981,8,1,25.6,,,,,,,,
Jurong (West),1981,8,2,8.3,,,,,,,,
Jurong (West),1981,8,3,0,,,,,,,,
Jurong (West),1981,8,4,0,,,,,,,,
Jurong (West),1981,8,5,0,,,,,,,,
Jurong (West),1981,8,6,0,,,,,,,,
Jurong (West),1981,8,7,0,,,,,,,,
Jurong (West),1981,8,8,0,,,,,,,,
Jurong (West),1981,8,9,0,,,,,,,,
Jurong (West),1981,8,10,0,,,,,,,,
Jurong (West),1981,8,11,0,,,,,,,,
Jurong (West),1981,8,12,0,,,,,,,,
Jurong (West),1981,8,13,0,,,,,,,,
Jurong (West),1981,8,14,0,,,,,,,,
Jurong (West),1981,8,15,0,,,,,,,,
Jurong (West),1981,8,16,0,,,,,,,,
Jurong (West),1981,8,17,0,,,,,,,,
Jurong (West),1981,8,18,11.5,,,,,,,,
Jurong (West),1981,8,19,0,,,,,,,,
Jurong (West),1981,8,20,0,,,,,,,,
Jurong (West),1981,8,21,0,,,,,,,,
Jurong (West),1981,8,22,0,,,,,,,,
Jurong (West),1981,8,23,0,,,,,,,,
Jurong (West),1981,8,24,6.3,,,,,,,,
Jurong (West),1981,8,25,0,,,,,,,,
Jurong (West),1981,8,26,0,,,,,,,,
Jurong (West),1981,8,27,1.5,,,,,,,,
Jurong (West),1981,8,28,0,,,,,,,,
Jurong (West),1981,8,29,0,,,,,,,,
Jurong (West),1981,8,30,0.3,,,,,,,,
Jurong (West),1981,8,31,0,,,,,,,,
Jurong (West),1981,9,1,0,,,,,,,,
Jurong (West),1981,9,2,15.9,,,,,,,,
Jurong (West),1981,9,3,39.6,,,,,,,,
Jurong (West),1981,9,4,0,,,,,,,,
Jurong (West),1981,9,5,0,,,,,,,,
Jurong (West),1981,9,6,8.9,,,,,,,,
Jurong (West),1981,9,7,20.4,,,,,,,,
