Station,Year,Month,Day,Daily Rainfall Total (mm),Daily Rainfall Total,Highest 30 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed (km/h),Max Wind Speed (km/h)
Admiralty,2009,7,26,0,,,,28.3,31.9,24.1,8.6,45.7
Admiralty,2009,7,27,9.2,,,,26.5,30.4,22.6,7.1,59.4
Admiralty,2009,7,28,0,,,,28,33.1,23.4,6.7,33.1
Admiralty,2009,7,29,0,,,,29,32.3,26.8,7.1,33.1
Admiralty,2009,7,30,0,,,,28.5,32.2,24.9,7.2,29.5
Admiralty,2009,7,31,0,,,,28.8,32.8,24.9,6.2,29.5
Admiralty,2009,8,1,0,,,,28.9,31.7,26.5,6.5,28.8
Admiralty,2009,8,2,0,,,,29.2,32.4,27,6.4,29.9
Admiralty,2009,8,3,0,,,,29.2,32.9,26.8,7.1,31.3
Admiralty,2009,8,4,0,,,,29.3,33,27,6.5,27.4
Admiralty,2009,8,5,1.2,,,,28.1,30.9,26.6,6.1,40.3
Admiralty,2009,8,6,0,,,,29.4,33.6,24.4,5.7,29.2
Admiralty,2009,8,7,0,,,,29,32.3,27,6.4,40.7
Admiralty,2009,8,8,0,,,,29,32.5,25.6,6.3,29.5
Admiralty,2009,8,9,0.2,,,,29.3,33.1,27.4,7,27.7
Admiralty,2009,8,10,0,,,,26.9,30.1,23.7,6.9,50.4
Admiralty,2009,8,11,0.4,,,,28.9,33.2,26.2,6.2,25.9
Admiralty,2009,8,12,0,,,,29.3,33,27.3,9.8,36.4
Admiralty,2009,8,13,0,,,,29.7,33.6,27.4,8.7,33.5
Admiralty,2009,8,14,0,,,,28.9,33,26.1,7.8,38.5
Admiralty,2009,8,15,2.8,,,,26.8,30.6,25.4,5.6,43.6
Admiralty,2009,8,16,3.6,,,,27.7,33.1,25.1,5.7,33.1
Admiralty,2009,8,17,8.4,,,,27.1,30.7,24.9,4.5,33.1
Admiralty,2009,8,18,0,,,,28.8,33.1,25.4,8.4,37.4
Admiralty,2009,8,19,0,,,,29.1,33,26,6.3,27.7
Admiralty,2009,8,20,3,,,,27.5,32.7,23.3,6.3,43.9
Admiralty,2009,8,21,0.6,,,,26.6,30.7,23.7,4.8,38.9
Admiralty,2009,8,22,8.2,,,,28.8,33.3,24.7,5.9,26.3
Admiralty,2009,8,23,0,,,,26.3,29.6,23.2,7,38.2
Admiralty,2009,8,24,16.2,,,,27.7,31,24.3,9.7,43.9
Admiralty,2009,8,25,0,,,,27.5,31.4,22.7,10.4,47.5
Admiralty,2009,8,26,0.4,,,,27.5,31.4,24.4,5.2,39.6
Admiralty,2009,8,27,37,,,,26.2,28.2,23.6,9.8,33.1
Admiralty,2009,8,28,0,,,,26.7,30.6,23.2,11.4,48.6
Admiralty,2009,8,29,0,,,,28.9,32.5,26.2,6.7,30.2
Admiralty,2009,8,30,7.8,,,,26.2,28.3,24.1,7,47.5
Admiralty,2009,8,31,0.4,,,,27.5,31.6,25.2,5.4,24.8
Admiralty,2009,9,1,24,,,,25.3,29.9,23.5,9.5,49
Admiralty,2009,9,2,0,,,,27.8,32.6,23.8,5,24.5
Admiralty,2009,9,3,1.4,,,,28.9,32.7,26.5,7.1,29.9
Admiralty,2009,9,4,4,,,,28.5,31.2,26.2,5.4,29.2
Admiralty,2009,9,5,0,,,,28.3,32.1,24.9,7.7,41.4
Admiralty,2009,9,6,1,,,,26.6,28,24.4,5,40.7
Admiralty,2009,9,7,0,,,,28.5,31.8,25.9,6,25.9
Admiralty,2009,9,8,0,,,,29.1,31.9,27.4,5.1,20.9
Admiralty,2009,9,9,0,,,,29.8,33.4,27.7,5.6,31.3
Admiralty,2009,9,10,3.4,,,,29.2,32.6,26.1,5.7,30.2
Admiralty,2009,9,11,4.6,,,,27.4,31.3,26,4.7,27.4
Admiralty,2009,9,12,0,,,,29.2,33.3,26,6.3,30.6
Admiralty,2009,9,13,3.8,,,,29.3,33.3,26.6,7,46.8
Admiralty,2009,9,14,0,,,,29.5,34.1,25.8,6.1,24.5
Admiralty,2009,9,15,0,,,,29.5,33.2,26.9,5.3,30.2
Admiralty,2009,9,16,8.2,,,,28.9,34.3,24.9,6,37.1
Admiralty,2009,9,17,0,,,,27.3,30.1,26.1,7.3,30.2
Admiralty,2009,9,18,8.2,,,,26.1,29.4,23.1,4.7,39.2
Admiralty,2009,9,19,5.4,,,,25.8,28.4,23.5,5.6,31.3
Admiralty,2009,9,20,0,,,,28.6,33.1,25,5,29.9
Admiralty,2009,9,21,0.2,,,,27.6,32.9,24.8,6.6,28.1
Admiralty,2009,9,22,0,,,,27.5,30.9,24.8,6.6,32.8
Admiralty,2009,9,23,0.2,,,,28.5,32,25.4,6.3,31.3
Admiralty,2009,9,24,1,,,,27.5,31.2,23.5,8.7,54.4
Admiralty,2009,9,25,0,,,,29,32.5,26.1,7.1,33.5
Admiralty,2009,9,26,0,,,,29.6,33.1,25.9,6.9,35.6
Admiralty,2009,9,27,0,,,,29.3,32.9,27.1,6.2,28.8
Admiralty,2009,9,28,0,,,,29.7,33.5,27.4,5.9,33.1
Admiralty,2009,9,29,1.8,,,,28.5,31.2,25.3,11.4,44.6
Admiralty,2009,9,30,0.4,,,,28.8,32.6,24.3,7.1,40
Admiralty,2009,10,1,0,,,,27.8,29.7,25.2,7.6,42.8
Admiralty,2009,10,2,0,,,,28.7,33.5,26.4,7,33.1
Admiralty,2009,10,3,2.6,,,,26.8,31.5,24.8,7.3,55.8
